iter	Passed	Remaining
0	5	5353
1	9	4955
2	14	4933
3	19	4809
4	23	4768
5	28	4764
6	33	4704
7	37	4613
8	41	4562
9	45	4521
10	49	4477
11	54	4501
12	59	4525
13	63	4496
14	68	4482
15	72	4449
16	76	4428
17	81	4427
18	85	4418
19	90	4411
20	94	4405
21	99	4419
22	103	4405
23	108	4399
24	112	4378
25	116	4359
26	120	4350
27	125	4348
28	130	4360
29	134	4347
30	139	4345
31	143	4333
32	147	4323
33	151	4311
34	156	4304
35	160	4302
36	165	4300
37	169	4302
38	174	4302
39	178	4290
40	183	4291
41	187	4283
42	193	4308
43	198	4302
44	202	4296
45	207	4307
46	213	4326
47	217	4318
48	222	4319
49	227	4313
50	231	4302
51	236	4312
52	241	4313
53	245	4301
54	250	4307
55	255	4301
56	259	4290
57	264	4291
58	268	4286
59	273	4284
60	277	4277
61	282	4270
62	286	4266
63	291	4259
64	296	4264
65	300	4255
66	305	4251
67	310	4249
68	314	4248
69	319	4243
70	323	4236
71	328	4227
72	332	4220
73	336	4210
74	341	4205
75	345	4197
76	349	4194
77	354	4187
78	358	4176
79	362	4168
80	366	4158
81	370	4149
82	374	4132
83	378	4123
84	382	4121
85	387	4116
86	391	4111
87	396	4106
88	400	4101
89	405	4096
90	409	4090
91	413	4085
92	418	4083
93	423	4079
94	427	4073
95	431	4067
96	436	4065
97	440	4057
98	445	4055
99	449	4047
100	454	4041
101	458	4037
102	462	4031
103	467	4028
104	471	4021
105	476	4016
106	480	4012
107	485	4008
108	489	4001
109	494	4000
110	498	3995
111	503	3991
112	507	3984
113	511	3977
114	516	3977
115	521	3973
116	525	3969
117	530	3967
118	535	3962
119	539	3959
120	544	3953
121	548	3949
122	553	3943
123	557	3939
124	562	3938
125	567	3935
126	571	3930
127	576	3924
128	581	3926
129	585	3920
130	589	3911
131	594	3907
132	599	3906
133	603	3901
134	608	3897
135	613	3898
136	620	3906
137	625	3904
138	629	3901
139	634	3894
140	638	3888
141	642	3884
142	647	3877
143	651	3873
144	655	3865
145	660	3861
146	664	3856
147	668	3850
148	673	3846
149	677	3840
150	681	3833
151	686	3830
152	691	3826
153	695	3821
154	700	3818
155	704	3811
156	709	3808
157	713	3802
158	718	3798
159	722	3792
160	727	3789
161	731	3782
162	735	3778
163	740	3773
164	744	3767
165	750	3768
166	754	3764
167	759	3760
168	763	3755
169	768	3750
170	772	3744
171	776	3739
172	781	3735
173	785	3730
174	790	3725
175	795	3722
176	799	3717
177	804	3713
178	808	3708
179	813	3705
180	817	3700
181	822	3695
182	826	3689
183	831	3685
184	835	3680
185	839	3675
186	843	3668
187	847	3662
188	852	3657
189	856	3651
190	860	3644
191	865	3640
192	869	3637
193	874	3631
194	878	3627
195	883	3624
196	887	3618
197	891	3612
198	896	3607
199	900	3600
200	904	3595
201	909	3593
202	914	3588
203	918	3584
204	923	3579
205	927	3575
206	931	3569
207	936	3566
208	940	3560
209	945	3555
210	949	3549
211	953	3545
212	958	3541
213	962	3535
214	967	3531
215	971	3526
216	975	3520
217	980	3516
218	984	3510
219	988	3504
220	992	3500
221	997	3496
222	1002	3492
223	1006	3487
224	1010	3481
225	1015	3477
226	1019	3472
227	1024	3469
228	1029	3464
229	1033	3461
230	1038	3457
231	1042	3451
232	1047	3447
233	1051	3442
234	1056	3438
235	1060	3433
236	1065	3429
