,일시,광진구,동대문구,성동구,중랑구,year,month,day,weekday,평균기온(℃),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥),강수량 mm
0,2018-01-01,0.592,0.368,0.58,0.162,2018,1,1,0,-1.3,46.6,22.6,0
1,2018-01-02,0.84,0.614,1.034,0.26,2018,1,2,1,-1.8,43.8,23.2,0
2,2018-01-03,0.828,0.576,0.952,0.288,2018,1,3,2,-4.7,37.2,20.0,0
3,2018-01-04,0.792,0.542,0.914,0.292,2018,1,4,3,-4.7,49.2,26.0,0
4,2018-01-05,0.818,0.602,0.994,0.308,2018,1,5,4,-3.0,64.4,39.4,0
5,2018-01-06,0.618,0.522,0.696,0.228,2018,1,6,5,-2.8,53.2,34.8,0
6,2018-01-07,0.598,0.478,0.606,0.238,2018,1,7,6,-0.8,56.6,40.6,0
7,2018-01-08,0.742,0.528,0.848,0.202,2018,1,8,0,1.3,58.0,39.2,0.9
8,2018-01-09,0.652,0.488,0.838,0.206,2018,1,9,1,-4.2,43.4,20.6,0.5
9,2018-01-10,0.5,0.406,0.636,0.16,2018,1,10,2,-7.5,36.8,15.0,0.3
10,2018-01-11,0.52,0.346,0.596,0.138,2018,1,11,3,-11.1,35.2,24.4,0
11,2018-01-12,0.514,0.318,0.596,0.136,2018,1,12,4,-10.2,26.0,16.4,0
12,2018-01-13,0.492,0.296,0.454,0.188,2018,1,13,5,-4.4,54.6,38.0,0.4
13,2018-01-14,0.496,0.414,0.554,0.17,2018,1,14,6,0.6,71.6,51.8,0
14,2018-01-15,0.722,0.52,0.918,0.26,2018,1,15,0,4.7,73.2,48.8,0.2
15,2018-01-16,0.844,0.63,1.012,0.258,2018,1,16,1,3.5,113.6,80.0,0
16,2018-01-17,0.82,0.59,0.9,0.24,2018,1,17,2,4.5,118.6,88.4,0
17,2018-01-18,0.788,0.638,1.01,0.228,2018,1,18,3,2.1,92.0,58.6,0
18,2018-01-19,0.984,0.634,1.126,0.294,2018,1,19,4,1.0,65.2,29.6,0
19,2018-01-20,0.77,0.486,0.804,0.276,2018,1,20,5,2.2,106.4,60.8,0
20,2018-01-21,0.664,0.448,0.648,0.268,2018,1,21,6,0.4,67.0,34.6,0
21,2018-01-22,0.624,0.396,0.692,0.162,2018,1,22,0,0.2,52.2,29.0,3.3
22,2018-01-23,0.432,0.386,0.636,0.11,2018,1,23,1,-11.7,26.4,12.6,0
23,2018-01-24,0.396,0.302,0.498,0.088,2018,1,24,2,-14.2,31.0,10.2,0
24,2018-01-25,0.444,0.306,0.492,0.098,2018,1,25,3,-14.0,23.8,11.2,0
25,2018-01-26,0.36,0.29,0.526,0.088,2018,1,26,4,-14.8,32.4,19.0,0
26,2018-01-27,0.358,0.278,0.352,0.116,2018,1,27,5,-9.9,47.2,29.0,0
27,2018-01-28,0.316,0.294,0.334,0.128,2018,1,28,6,-6.3,32.4,20.4,0
28,2018-01-29,0.574,0.366,0.62,0.132,2018,1,29,0,-8.5,46.2,15.6,0
29,2018-01-30,0.444,0.288,0.512,0.098,2018,1,30,1,-5.3,43.2,22.0,2.9
30,2018-01-31,0.474,0.338,0.598,0.1,2018,1,31,2,-2.6,41.0,20.2,0
31,2018-02-01,0.726,0.43,0.816,0.202,2018,2,1,3,-4.0,39.6,23.0,0
32,2018-02-02,0.732,0.47,0.886,0.224,2018,2,2,4,-2.4,55.6,33.8,0
33,2018-02-03,0.448,0.312,0.44,0.152,2018,2,3,5,-7.3,37.6,19.8,0.5
34,2018-02-04,0.322,0.244,0.328,0.126,2018,2,4,6,-9.5,31.8,21.4,0
35,2018-02-05,0.522,0.362,0.622,0.144,2018,2,5,0,-9.4,26.8,14.6,0
36,2018-02-06,0.472,0.342,0.592,0.114,2018,2,6,1,-10.1,30.6,18.8,0
37,2018-02-07,0.614,0.43,0.676,0.158,2018,2,7,2,-8.0,42.0,26.4,0
38,2018-02-08,0.706,0.476,0.758,0.174,2018,2,8,3,-4.4,53.6,35.2,0
39,2018-02-09,0.838,0.48,0.946,0.23,2018,2,9,4,0.4,67.6,48.2,0
40,2018-02-10,0.614,0.4,0.606,0.236,2018,2,10,5,-0.5,75.6,42.2,0
41,2018-02-11,0.45,0.28,0.356,0.144,2018,2,11,6,-6.1,54.0,14.8,0
42,2018-02-12,0.652,0.46,0.716,0.178,2018,2,12,0,-5.8,50.4,15.2,0
43,2018-02-13,0.788,0.52,0.892,0.288,2018,2,13,1,-0.8,52.0,17.0,0
44,2018-02-14,0.9,0.55,0.994,0.272,2018,2,14,2,3.5,66.2,30.6,0
45,2018-02-15,0.436,0.332,0.488,0.218,2018,2,15,3,-0.7,38.4,16.0,0
46,2018-02-16,0.318,0.244,0.398,0.192,2018,2,16,4,-1.1,45.4,22.4,0
47,2018-02-17,0.388,0.298,0.442,0.236,2018,2,17,5,-3.0,50.4,12.2,0
48,2018-02-18,0.65,0.368,0.568,0.262,2018,2,18,6,-0.4,36.4,18.0,0
49,2018-02-19,0.954,0.628,1.22,0.32,2018,2,19,0,1.8,62.4,40.8,0
50,2018-02-20,0.958,0.74,1.238,0.302,2018,2,20,1,0.9,62.6,40.2,0
51,2018-02-21,0.946,0.664,1.086,0.338,2018,2,21,2,-0.9,36.8,18.8,0
52,2018-02-22,1.008,0.614,1.134,0.318,2018,2,22,3,1.3,45.4,28.0,0.4
53,2018-02-23,0.744,0.466,0.896,0.246,2018,2,23,4,4.2,89.2,64.4,3.7
54,2018-02-24,0.866,0.624,0.808,0.288,2018,2,24,5,2.4,79.2,55.6,0
55,2018-02-25,0.926,0.588,0.932,0.314,2018,2,25,6,1.9,42.8,29.8,0
56,2018-02-26,1.274,0.828,1.448,0.394,2018,2,26,0,3.1,65.0,43.6,0
57,2018-02-27,1.152,0.756,1.3,0.396,2018,2,27,1,4.2,100.8,67.4,0
58,2018-02-28,0.522,0.354,0.554,0.15,2018,2,28,2,4.6,68.4,44.0,25
59,2018-03-01,0.6,0.474,0.66,0.226,2018,3,1,3,-0.2,40.2,30.8,0.5
60,2018-03-02,1.028,0.75,1.196,0.346,2018,3,2,4,-0.7,67.8,29.8,0
61,2018-03-03,2.12,1.04,1.894,0.598,2018,3,3,5,7.9,60.0,27.8,0
62,2018-03-04,0.616,0.446,0.628,0.26,2018,3,4,6,9.8,30.2,20.2,11.5
63,2018-03-05,1.18,0.746,1.378,0.326,2018,3,5,0,5.5,8.4,5.2,3.5
64,2018-03-06,1.606,1.032,1.87,0.588,2018,3,6,1,4.5,29.8,17.4,0
