측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2018-01-01,46.6,22.6
2018-01-02,43.8,23.2
2018-01-03,37.2,20.0
2018-01-04,49.2,26.0
2018-01-05,64.4,39.4
2018-01-06,53.2,34.8
2018-01-07,56.6,40.6
2018-01-08,58.0,39.2
2018-01-09,43.4,20.6
2018-01-10,36.8,15.0
2018-01-11,35.2,24.4
2018-01-12,26.0,16.4
2018-01-13,54.6,38.0
2018-01-14,71.6,51.8
2018-01-15,73.2,48.8
2018-01-16,113.6,80.0
2018-01-17,118.6,88.4
2018-01-18,92.0,58.6
2018-01-19,65.2,29.6
2018-01-20,106.4,60.8
2018-01-21,67.0,34.6
2018-01-22,52.2,29.0
2018-01-23,26.4,12.6
2018-01-24,31.0,10.2
2018-01-25,23.8,11.2
2018-01-26,32.4,19.0
2018-01-27,47.2,29.0
2018-01-28,32.4,20.4
2018-01-29,46.2,15.6
2018-01-30,43.2,22.0
2018-01-31,41.0,20.2
2018-02-01,39.6,23.0
2018-02-02,55.6,33.8
2018-02-03,37.6,19.8
2018-02-04,31.8,21.4
2018-02-05,26.8,14.6
2018-02-06,30.6,18.8
2018-02-07,42.0,26.4
2018-02-08,53.6,35.2
2018-02-09,67.6,48.2
2018-02-10,75.6,42.2
2018-02-11,54.0,14.8
2018-02-12,50.4,15.2
2018-02-13,52.0,17.0
2018-02-14,66.2,30.6
2018-02-15,38.4,16.0
2018-02-16,45.4,22.4
2018-02-17,50.4,12.2
2018-02-18,36.4,18.0
2018-02-19,62.4,40.8
2018-02-20,62.6,40.2
2018-02-21,36.8,18.8
2018-02-22,45.4,28.0
2018-02-23,89.2,64.4
2018-02-24,79.2,55.6
2018-02-25,42.8,29.8
2018-02-26,65.0,43.6
2018-02-27,100.8,67.4
2018-02-28,68.4,44.0
2018-03-01,40.2,30.8
2018-03-02,67.8,29.8
2018-03-03,60.0,27.8
2018-03-04,30.2,20.2
2018-03-05,8.4,5.2
2018-03-06,29.8,17.4
2018-03-07,26.4,15.0
2018-03-08,33.0,27.6
2018-03-09,48.4,35.6
2018-03-10,48.8,34.4
2018-03-11,56.2,38.0
2018-03-12,97.4,61.2
2018-03-13,74.8,44.4
2018-03-14,23.6,12.8
2018-03-15,20.8,15.6
2018-03-16,12.8,6.4
2018-03-17,30.6,19.2
2018-03-18,57.8,43.0
2018-03-19,26.0,19.6
2018-03-20,19.6,8.6
2018-03-21,13.8,6.6
2018-03-22,42.25,27.75
2018-03-23,65.0,50.75
